

Starting up round ID . 21:39:31
---------------------
[22:23:30]ATTACK: Dab Dab(ss13isaids) attemped to inject NON-EXISTENT SUBJECT with The lethal injection syringewhich had Blood   
[22:23:48]ATTACK: MiniusAreas(miniusareas) fired at carpet with The bolt of fireball Head of Personnel's Office   (135,183,2)
[22:24:06]ATTACK: NON-EXISTENT USER shot Ian with The electrode (NEWHP: 20) (132,189,2)
[22:24:10]ATTACK: ED-209 Security Robot(miniusareas) fired at floor with The bolt of fireball Head of Personnel's Office   (135,191,2)
[22:24:20]ATTACK: ED-209 Security Robot(miniusareas) fired at floor with The bolt of fireball Head of Personnel's Office   (130,190,2)
[22:24:20]ATTACK: Dab Dab(ss13isaids) attemped to inject NON-EXISTENT SUBJECT with The bioterror syringewhich had Neurotoxin, Mute Toxin and Sodium Thiopental   
[22:24:21]ATTACK: Dab Dab(ss13isaids) attemped to inject NON-EXISTENT SUBJECT with The bioterror syringewhich had Neurotoxin, Mute Toxin and Sodium Thiopental   
[22:24:22]ATTACK: Dab Dab(ss13isaids) attemped to inject NON-EXISTENT SUBJECT with The bioterror syringewhich had Neurotoxin, Mute Toxin and Sodium Thiopental   
[22:24:26]ATTACK: Dab Dab(ss13isaids) attemped to inject NON-EXISTENT SUBJECT with The bioterror syringewhich had Sugar, Bicaridine, Kelotane, Blood, Neurotoxin, Mute Toxin and Sodium Thiopental   
[22:24:37]ATTACK: ED-209 Security Robot(miniusareas) fired at floor with The bolt of fireball Head of Personnel's Office   (130,184,2)
[22:24:52]ATTACK: ED-209 Security Robot(miniusareas) fired at Equipment Room with The bolt of fireball Head of Personnel's Office   (135,191,2)
[22:25:20]ATTACK: MiniusAreas(miniusareas) fired at reinforced window with The bolt of fireball Space   (153,206,2)
[22:25:46]ATTACK: MiniusAreas(miniusareas) fired at floor with The bolt of fireball Fore Primary Hallway   (145,218,2)
[22:25:46]ATTACK: MiniusAreas(miniusareas) shot Officer Beepsky with The bolt of fireball (NEWHP: 15) (145,220,2)
[22:25:57]ATTACK: MiniusAreas(miniusareas) fired at supper noob(noober84555) with The bolt of fireball Fore Primary Hallway (NEWHP: 1e+006) (145,223,2)
[22:25:57]ATTACK: MiniusAreas(miniusareas) shot supper noob(noober84555) with The bolt of fireball (NEWHP: 999980) (145,223,2)
[22:26:30]ATTACK: supper noob(noober84555) fired at floor with The death bolt Fore Primary Hallway   (149,226,2)
[22:26:30]ATTACK: supper noob(noober84555) fired at floor with The death bolt Fore Primary Hallway   (149,226,2)
[22:26:30]ATTACK: supper noob(noober84555) fired at floor with The death bolt Fore Primary Hallway   (149,226,2)
[22:26:30]ATTACK: supper noob(noober84555) fired at floor with The death bolt Fore Primary Hallway   (149,226,2)
[22:26:30]ATTACK: supper noob(noober84555) fired at floor with The death bolt Fore Primary Hallway   (149,226,2)
[22:26:30]ATTACK: MiniusAreas(miniusareas) fired at floor with The bolt of fireball Atrium   (142,224,2)
[22:26:30]ATTACK: supper noob(noober84555) fired at floor with The death bolt Fore Primary Hallway   (149,226,2)
[22:26:30]ATTACK: supper noob(noober84555) fired at floor with The death bolt Fore Primary Hallway   (149,226,2)
[22:26:30]ATTACK: supper noob(noober84555) fired at floor with The death bolt Fore Primary Hallway   (149,226,2)
[22:26:30]ATTACK: supper noob(noober84555) fired at floor with The death bolt Fore Primary Hallway   (149,226,2)
[22:26:30]ATTACK: supper noob(noober84555) fired at floor with The death bolt Fore Primary Hallway   (149,226,2)
[22:26:30]ATTACK: supper noob(noober84555) fired at floor with The death bolt Fore Primary Hallway   (149,226,2)
[22:26:30]ATTACK: supper noob(noober84555) fired at floor with The death bolt Fore Primary Hallway   (149,226,2)
[22:26:30]ATTACK: supper noob(noober84555) fired at floor with The death bolt Fore Primary Hallway   (149,226,2)
[22:26:30]ATTACK: NON-EXISTENT USER electrified Atrium with    (143,224,2)
[22:26:30]ATTACK: supper noob(noober84555) fired at floor with The death bolt Fore Primary Hallway   (149,226,2)
[22:26:30]ATTACK: supper noob(noober84555) fired at floor with The death bolt Fore Primary Hallway   (149,226,2)
[22:26:30]ATTACK: supper noob(noober84555) fired at floor with The death bolt Fore Primary Hallway   (149,226,2)
[22:26:30]ATTACK: supper noob(noober84555) fired at floor with The death bolt Fore Primary Hallway   (149,226,2)
[22:26:30]ATTACK: supper noob(noober84555) fired at floor with The death bolt Fore Primary Hallway   (149,226,2)
[22:26:30]ATTACK: supper noob(noober84555) fired at floor with The death bolt Fore Primary Hallway   (149,226,2)
[22:26:30]ATTACK: supper noob(noober84555) fired at floor with The death bolt Fore Primary Hallway   (149,226,2)
[22:26:30]ATTACK: supper noob(noober84555) fired at floor with The death bolt Fore Primary Hallway   (149,226,2)
[22:26:30]ATTACK: supper noob(noober84555) fired at floor with The death bolt Fore Primary Hallway   (149,226,2)
[22:26:30]ATTACK: supper noob(noober84555) fired at floor with The death bolt Fore Primary Hallway   (149,226,2)
[22:26:31]ATTACK: supper noob(noober84555) fired at floor with The death bolt Fore Primary Hallway   (149,226,2)
[22:26:50]ATTACK: MiniusAreas(miniusareas) fired at floor with The bolt of fireball Atrium   (140,223,2)
[22:27:09]ATTACK: supper noob(noober84555) fired at floor with The death bolt Fore Primary Hallway   (144,237,2)
[22:27:09]ATTACK: supper noob(noober84555) fired at floor with The death bolt Fore Primary Hallway   (144,237,2)
[22:27:09]ATTACK: supper noob(noober84555) fired at floor with The death bolt Fore Primary Hallway   (144,237,2)
[22:27:09]ATTACK: supper noob(noober84555) fired at floor with The death bolt Fore Primary Hallway   (144,237,2)
[22:27:09]ATTACK: supper noob(noober84555) fired at floor with The death bolt Arrival Shuttle Hallway   (144,237,2)
[22:27:09]ATTACK: supper noob(noober84555) fired at floor with The death bolt Arrival Shuttle Hallway   (144,237,2)
[22:27:09]ATTACK: supper noob(noober84555) fired at floor with The death bolt Arrival Shuttle Hallway   (144,237,2)
[22:27:09]ATTACK: supper noob(noober84555) fired at floor with The death bolt Arrival Shuttle Hallway   (144,237,2)
[22:27:10]ATTACK: supper noob(noober84555) fired at floor with The death bolt Arrival Shuttle Hallway   (144,237,2)
[22:27:10]ATTACK: supper noob(noober84555) fired at floor with The death bolt Arrival Shuttle Hallway   (144,237,2)
[22:27:10]ATTACK: supper noob(noober84555) fired at floor with The death bolt Arrival Shuttle Hallway   (144,237,2)
[22:27:10]ATTACK: supper noob(noober84555) fired at floor with The death bolt Arrival Shuttle Hallway   (144,237,2)
[22:27:10]ATTACK: supper noob(noober84555) fired at floor with The death bolt Arrival Shuttle Hallway   (144,237,2)
[22:27:10]ATTACK: supper noob(noober84555) fired at floor with The death bolt Arrival Shuttle Hallway   (144,237,2)
[22:27:10]ATTACK: supper noob(noober84555) fired at floor with The death bolt Arrival Shuttle Hallway   (144,237,2)
[22:27:10]ATTACK: supper noob(noober84555) fired at floor with The death bolt Atrium   (144,237,2)
[22:27:10]ATTACK: supper noob(noober84555) fired at floor with The death bolt Atrium   (144,237,2)
[22:27:10]ATTACK: supper noob(noober84555) shot Dab Dab(ss13isaids) with The death bolt (NEWHP: 33.5) (149,245,2)
[22:27:10]ATTACK: supper noob(noober84555) shot Dab Dab(ss13isaids) with The death bolt (NEWHP: -16.5) (149,245,2)
[22:27:10]ATTACK: supper noob(noober84555) fired at floor with The death bolt Atrium   (144,237,2)
[22:27:11]ATTACK: supper noob(noober84555) fired at floor with The death bolt Atrium   (144,237,2)
[22:27:11]ATTACK: supper noob(noober84555) shot MiniusAreas(miniusareas) with The death bolt (NEWHP: 36.8) (142,226,2)
[22:27:11]ATTACK: supper noob(noober84555) shot MiniusAreas(miniusareas) with The death bolt (NEWHP: 11.8) (142,226,2)
[22:27:11]ATTACK: supper noob(noober84555) fired at floor with The death bolt Atrium   (144,237,2)
[22:27:11]ATTACK: supper noob(noober84555) shot MiniusAreas(miniusareas) with The death bolt (NEWHP: -13.2) (142,226,2)
[22:27:11]ATTACK: supper noob(noober84555) fired at floor with The death bolt Atrium   (144,237,2)
[22:27:11]ATTACK: supper noob(noober84555) electrified Atrium with    (143,223,2)
[22:27:11]ATTACK: supper noob(noober84555) fired at floor with The death bolt Atrium   (144,237,2)
[22:27:11]ATTACK: supper noob(noober84555) fired at floor with The death bolt Atrium   (144,237,2)
[22:27:11]ATTACK: supper noob(noober84555) fired at floor with The death bolt Atrium   (144,237,2)
[22:27:11]ATTACK: supper noob(noober84555) fired at floor with The death bolt Atrium   (144,237,2)
[22:27:11]ATTACK: supper noob(noober84555) fired at floor with The death bolt Atrium   (144,237,2)
[22:27:12]ATTACK: supper noob(noober84555) fired at floor with The death bolt Atrium   (144,237,2)
[22:27:12]ATTACK: supper noob(noober84555) fired at floor with The death bolt Atrium   (144,237,2)
[22:27:12]ATTACK: supper noob(noober84555) fired at floor with The death bolt Atrium   (144,237,2)
[22:27:12]ATTACK: supper noob(noober84555) fired at floor with The death bolt Atrium   (144,237,2)
[22:27:12]ATTACK: supper noob(noober84555) fired at floor with The death bolt Atrium   (144,237,2)
[22:27:12]ATTACK: supper noob(noober84555) fired at floor with The death bolt Atrium   (144,237,2)
[22:27:12]ATTACK: supper noob(noober84555) fired at floor with The death bolt Atrium   (144,237,2)
[22:27:12]ATTACK: supper noob(noober84555) fired at floor with The death bolt Atrium   (144,237,2)
[22:27:13]ATTACK: supper noob(noober84555) fired at floor with The death bolt Atrium   (144,237,2)
